city,state,lat,lon
New York,NY,40.7128,-74.006
Los Angeles,CA,34.0522,-118.2437
Chicago,IL,41.8781,-87.6298
Houston,TX,29.7604,-95.3698
Phoenix,AZ,33.4484,-112.074
Philadelphia,PA,39.9526,-75.1652
San Antonio,TX,29.4241,-98.4936
San Diego,CA,32.7157,-117.1611
Dallas,TX,32.7767,-96.797
San Jose,CA,37.3382,-121.8863
Austin,TX,30.2672,-97.7431
Jacksonville,FL,30.3322,-81.6557
Fort Worth,TX,32.7555,-97.3308
Columbus,OH,39.9612,-82.9988
Charlotte,NC,35.2271,-80.8431
Indianapolis,IN,39.7684,-86.1581
San Francisco,CA,37.7749,-122.4194
Seattle,WA,47.6062,-122.3321
Denver,CO,39.7392,-104.9903
Washington,DC,38.9072,-77.0369
Anchorage,AK,61.2181,-149.9003
Birmingham,AL,33.5186,-86.8104
Little Rock,AR,34.7465,-92.2896
Wilmington,DE,39.7391,-75.5398
Atlanta,GA,33.749,-84.388
Boise,ID,43.615,-116.2023
Des Moines,IA,41.5868,-93.625
Wichita,KS,37.6872,-97.3301
Louisville,KY,38.2527,-85.7585
New Orleans,LA,29.9511,-90.0715
Portland,ME,43.6591,-70.2568
Baltimore,MD,39.2904,-76.6122
Detroit,MI,42.3314,-83.0458
Minneapolis,MN,44.9778,-93.265
Kansas City,MO,39.0997,-94.5786
Billings,MT,45.7833,-108.5007
Omaha,NE,41.2565,-95.9345
Las Vegas,NV,36.1699,-115.1398
Manchester,NH,42.9956,-71.4548
Newark,NJ,40.7357,-74.1724
Albuquerque,NM,35.0844,-106.6504
Fargo,ND,46.8772,-96.7898
Cleveland,OH,41.4993,-81.6944
Oklahoma City,OK,35.4676,-97.5164
Portland,OR,45.5152,-122.6784
Providence,RI,41.824,-71.4128
Sioux Falls,SD,43.5446,-96.7311
Nashville,TN,36.1627,-86.7816
Salt Lake City,UT,40.7608,-111.891
Burlington,VT,44.4759,-73.2121
Virginia Beach,VA,36.8529,-75.978
Spokane,WA,47.6588,-117.426
Charleston,WV,38.3498,-81.6326
Milwaukee,WI,43.0389,-87.9065
Cheyenne,WY,41.1399,-104.8202
